address,description,lat,lng
"485, ARSENAL ST, Watertown, MA, 02472","Int. demo & conversion of  existing restaurant for new tenant, Miller's Ale 
House ",42.3621703,-71.1570854
"98, BARNARD AV, Watertown, MA, 02472","Interior renovations 1st, 2nd, 3rd floors as per plans ",42.372922,-71.176406
"81, BOYD ST, Watertown, MA, 02472",Install 2 replacement windows ,42.360418,-71.189436
"6, BRADSHAW ST, Watertown, MA, 02472",Convert existing screened porch in to a heated year round room ,42.376762,-71.188746
"38, BROMFIELD ST, Watertown, MA, 02472","Remove old front stairs and replace with new, same dimensions ",42.371035,-71.203321
"29-31, CHANDLER ST, Watertown, MA, 02472",Install replacement windows ,42.384261,-71.193111
"140, CHURCH ST, Watertown, MA, 02472","3rd Fl: install skylights in attic for future bedroom suite, insulate rafter space 
w/spray foam; rough in elec/plumbing ",42.3710179,-71.18089259999999
"219, COMMON ST, Watertown, MA, 02472",Replace existing deck 7' x 15' ,42.375422,-71.177007
"35-37, COTTAGE ST, Watertown, MA, 02472",Strip & reroof ,42.372538,-71.15096299999999
"84, DUFF ST, Watertown, MA, 02472",1st Fl: kitchen remodeling ,42.3792137,-71.1940996
"275, EDENFIELD AV, Watertown, MA, 02472",Strip & reroof ,42.378568,-71.189961
"106, HARNDEN AV, Watertown, MA, 02472",Strip & reroof ,42.3789992,-71.1850122
"108, LAUREL ST, Watertown, MA, 02472","Kitchen/bathroom renovations 1st/2nd floors; replace windows; new furnace 
to install radiant heat all floors ",42.3662977,-71.1602443
"2, LOCUST LN, Watertown, MA, 02472","1st Fl: Kitchen remodel, renovate 1/2 bath; 2nd Fl: renovate 2 baths, new 
stair treads &  misc. finish work ",42.374427,-71.194827
"40, LOWELL AV, Watertown, MA, 02472","Remove kitchen sink, countertop & walls ",42.3778922,-71.18683279999999
"270, PLEASANT ST, Watertown, MA, 02472",Trench - excavation for foundation & on-site utilities site work ,42.36780900000001,-71.197059
"79, SPRUCE ST, Watertown, MA, 02472",RAZE free standing garage/barn which has been condemned; ,42.367197,-71.17087099999999
"20, THURSTON RD, Watertown, MA, 02472","Basement: plumbing repairs; 2nd Fl: finish off exist. Walk-up second floor 
attic for 1 additional 1/2 bath & 1 bedroom by an 8' dormer ",42.3623483,-71.1814644
"22, WARWICK RD, Watertown, MA, 02472","1st Fl: kitchen remodel: demo of all horse hair plaster; insulate; new drywall, 
kitchen cabinets ",42.3793999,-71.181215
"396, CHARLES RIVER 
RD, Watertown, MA, 02472",Reframe garage roof ,42.361774,-71.16942639999999
"2, COZY ST, Watertown, MA, 02472",Remove & replace 1 exterior door ,42.3712779,-71.18889399999999
"212, EDENFIELD AV, Watertown, MA, 02472",Strip & reroof ,42.3770917,-71.1909557
"8, FAIRVIEW AV, Watertown, MA, 02472",Install replacement windows ,42.377394,-71.180261
"7  9, GALEN ST, Watertown, MA, 02472",Install tent for private function ,42.365479,-71.185709
"47, GREEN ST, Watertown, MA, 02472","1st Fl: redo kitchen cabinets; 2nd Fl: redo bath fixtures, move tub & add 
laundry closet ",42.36785,-71.191549
"40, LOWELL AV, Watertown, MA, 02472","Remove kitchen sink, countertop & walls ",42.3778922,-71.18683279999999
"16, MARION RD, Watertown, MA, 02472","Close off existing front porch to create a mudroom; add open porch 23'x 
16' ",42.370109,-71.180624
"49, MELENDY AV, Watertown, MA, 02472",RAZE old wooden 2-car garage ,42.3687666,-71.1596663
